61	M240	M240	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.258168	2015-05-21 19:27:16.258168
62	M3	M234	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.273794	2015-05-21 19:27:16.273794
63	M315	M315	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.273794	2015-05-21 19:27:16.273794
64	M329	M329	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.273794	2015-05-21 19:27:16.273794
65	M330	M330	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.273794	2015-05-21 19:27:16.273794
66	M4	M220	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.273794	2015-05-21 19:27:16.273794
67	M5	M140	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.273794	2015-05-21 19:27:16.273794
68	MAP	A131a	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.273794	2015-05-21 19:27:16.273794
69	MAula	mellin-aula	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.289419	2015-05-21 19:27:16.289419
70	MS1	A128	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.289419	2015-05-21 19:27:16.289419
71	N-sali	U271	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.289419	2015-05-21 19:27:16.289419
72	Oppilaslabra	Y156	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.289419	2015-05-21 19:27:16.289419
73	U130	U130	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.289419	2015-05-21 19:27:16.289419
74	U131	U131	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.289419	2015-05-21 19:27:16.289419
75	U261	U261	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.289419	2015-05-21 19:27:16.289419
76	U262	U262	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.289419	2015-05-21 19:27:16.289419
77	U264	U264	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.289419	2015-05-21 19:27:16.289419
78	U322	U322	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.305044	2015-05-21 19:27:16.305044
79	U325	U325	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.305044	2015-05-21 19:27:16.305044
80	U344	U344	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.305044	2015-05-21 19:27:16.305044
81	U345	U345	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.305044	2015-05-21 19:27:16.305044
82	U352	U352	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.305044	2015-05-21 19:27:16.305044
83	U353	U353	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.305044	2015-05-21 19:27:16.305044
84	U356	U356	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.305044	2015-05-21 19:27:16.305044
85	U358	U358	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.305044	2015-05-21 19:27:16.305044
86	U401b	U401b	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.305044	2015-05-21 19:27:16.305044
87	U402	U402	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.32067	2015-05-21 19:27:16.32067
88	U405a	U405a	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.32067	2015-05-21 19:27:16.32067
89	U405b	U405b	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.32067	2015-05-21 19:27:16.32067
90	U406a	U406a	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.32067	2015-05-21 19:27:16.32067
91	U409	U409	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.32067	2015-05-21 19:27:16.32067
92	U410b	U410b	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.32067	2015-05-21 19:27:16.32067
93	U413a	U413a	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.32067	2015-05-21 19:27:16.32067
94	U414a	U414a	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.32067	2015-05-21 19:27:16.32067
95	U414b	U414b	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.32067	2015-05-21 19:27:16.32067
96	U502	U502	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.336295	2015-05-21 19:27:16.336295
97	U503	U503	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.336295	2015-05-21 19:27:16.336295
98	U510	U510	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.336295	2015-05-21 19:27:16.336295
99	U511	U511	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.336295	2015-05-21 19:27:16.336295
100	U513	Iso neukkari	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.336295	2015-05-21 19:27:16.336295
101	U521	U521	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.336295	2015-05-21 19:27:16.336295
102	Unelias	U351	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.336295	2015-05-21 19:27:16.336295
103	VT1	VT1	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.336295	2015-05-21 19:27:16.336295
104	VT2	VT2	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.336295	2015-05-21 19:27:16.336295
105	Y195	Y195	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.351923	2015-05-21 19:27:16.351923
106	Y197	Y197	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.351923	2015-05-21 19:27:16.351923
107	Y198	Y198	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.351923	2015-05-21 19:27:16.351923
108	Y199a	Y199a	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.351923	2015-05-21 19:27:16.351923
109	Y199c	Y199c	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.351923	2015-05-21 19:27:16.351923
110	Y225a	Paja	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.351923	2015-05-21 19:27:16.351923
111	Y227	Y227	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.351923	2015-05-21 19:27:16.351923
112	Y228a	Y228a	\N	Otakaari 1	60.18654	24.82829	2015-05-21 19:27:16.351923	2015-05-21 19:27:16.351923
